iter	Logloss
169	0.5230429594
170	0.5227431206
171	0.5222776511
172	0.5219886914
173	0.5213238839
174	0.5207564084
175	0.5201001208
176	0.5196103658
177	0.5189070364
178	0.5181943192
179	0.517858514
180	0.5172521391
181	0.5169521875
182	0.5163920458
183	0.5155914143
184	0.5152132056
185	0.5145067471
186	0.5138063109
187	0.5134129972
188	0.5130884523
189	0.5126306694
190	0.5121496501
191	0.5116955102
192	0.5112817152
193	0.5108372574
194	0.5097817835
195	0.5092918535
196	0.5088360057
197	0.5084492017
198	0.5079267847
199	0.5074718961
200	0.5066977787
201	0.5062817654
202	0.5057954406
203	0.5047618668
204	0.5041991279
205	0.5037591144
206	0.5033084023
207	0.5024297309
208	0.5017536705
209	0.5009245283
210	0.50042778
211	0.4997745639
212	0.4992433076
213	0.4985957107
214	0.4980246322
215	0.4973770948
216	0.4970581468
217	0.4966496785
218	0.4960631796
219	0.4953440262
220	0.4948331741
221	0.4940844812
222	0.4934829465
223	0.4929970379
224	0.4923919698
225	0.4919607942
226	0.4912782072
227	0.4907858121
228	0.4901595781
229	0.4895296474
230	0.4890572787
231	0.4882732579
232	0.4878733163
233	0.4874271062
234	0.4870124879
235	0.4866076465
236	0.4862053089
237	0.4851041239
238	0.4846885989
239	0.4842679699
240	0.4837083021
241	0.4829097479
242	0.4820832453
243	0.4816717909
244	0.4811427304
245	0.4805620035
246	0.4800400918
247	0.4795750131
248	0.4791674809
249	0.4786920856
250	0.4782945199
251	0.4779262498
252	0.4773236857
253	0.4767763709
254	0.476206073
255	0.4756066064
256	0.4751660997
257	0.4745255883
258	0.4739107917
259	0.4733961627
260	0.4729309752
261	0.4724415695
262	0.4719781716
263	0.4714795566
264	0.4711288035
265	0.4706585006
266	0.4699659523
267	0.4695287696
268	0.4689848471
269	0.468607719
270	0.4682359371
271	0.4677457215
272	0.4674953127
273	0.4669798574
274	0.4665145119
275	0.4661109574
276	0.4653103344
277	0.464789089
278	0.4643557936
279	0.4639183204
280	0.463599294
281	0.4632485045
282	0.4627971286
283	0.4623375957
284	0.4618388945
285	0.4613314761
286	0.4608064039
287	0.460131809
288	0.4597577157
289	0.4591197409
290	0.458623721
291	0.4582036297
292	0.4577326096
293	0.4574629563
294	0.4570713484
295	0.4565142439
296	0.4561213526
297	0.4556278636
298	0.4551251923
299	0.4547546434
300	0.4542370748
301	0.4538112611
302	0.453375602
303	0.4530283305
304	0.4526498119
305	0.4523070832
306	0.4519729719
307	0.4515094296
308	0.4510039908
309	0.4504471632
310	0.4500273582
311	0.4494776521
312	0.4491158081
313	0.4487642791
314	0.448409496
315	0.4479309981
316	0.4473525135
317	0.4468554254
318	0.4465813212
319	0.4461243137
320	0.4456142204
321	0.4452018002
322	0.4446405507
323	0.4443244138
324	0.4439279864
325	0.4435718756
326	0.4430085712
327	0.4425420671
328	0.4421503496
329	0.441809061
330	0.4414223166
331	0.4409670089
332	0.440554151
333	0.4402506286
334	0.4398917587
335	0.4394835998
336	0.4391029266
337	0.4387157936
338	0.4383813931
339	0.4380850244
340	0.4377133968
341	0.4373664926
342	0.4367605583
343	0.4363413677
344	0.4358862193
345	0.4354714325
346	0.4349714261
347	0.4347140897
348	0.4344448191
349	0.4341946959
350	0.43386917
351	0.4335196745
352	0.4331159132
353	0.4326706157
354	0.432302704
355	0.4319991682
356	0.4317025804
357	0.4314048673
358	0.4310421946
359	0.4306857607
360	0.4302309127
361	0.4297859056
362	0.4295125143
363	0.4291994277
364	0.428739636
365	0.4282870774
366	0.4279335596
367	0.4275465727
368	0.4272337678
369	0.4268353452
370	0.4264527543
371	0.426018446
372	0.4255866552
373	0.4252989416
374	0.4248857848
375	0.4245073555
376	0.4241539769
377	0.4237584206
378	0.4233289912
379	0.4228416458
380	0.4223559697
381	0.421926221
382	0.4215213653
383	0.4210897309
384	0.4203581528
385	0.4199476941
386	0.4195134595
387	0.4190106073
388	0.4187521994
389	0.41831351
390	0.4179404593
391	0.4175599784
392	0.4171303323
393	0.4167871763
394	0.4163797101
395	0.4159684781
396	0.4157216786
397	0.4153953957
398	0.414939985
399	0.4144620675
400	0.4140806731
401	0.4136572837
402	0.4133021585
403	0.412982297
404	0.4127025119
405	0.4124014456
406	0.4120510582
407	0.4117215552
408	0.4113540243
409	0.4110297566
410	0.4106140791
411	0.4103623462
412	0.4100903263
413	0.409709654
414	0.409278741
415	0.4089748318
416	0.4085952007
417	0.4083201724
418	0.4079869343
419	0.4077075205
420	0.4073736251
421	0.4069893824
422	0.4066774602
423	0.4063598299
424	0.4060585539
425	0.4057410108
426	0.4052444612
427	0.4049517628
428	0.4046663844
429	0.4043664406
430	0.4039659543
431	0.4036454137
432	0.403425006
433	0.4031858885
434	0.4028100861
435	0.4024444489
436	0.4021420631
437	0.4017993632
438	0.4015412692
439	0.40116749
440	0.4008556896
441	0.4005752404
442	0.4004180255
443	0.3999878627
444	0.3995618576
445	0.3992305239
446	0.3989747933
447	0.3986856077
448	0.398323672
449	0.3978339484
450	0.3974305797
451	0.3969666442
452	0.3966169479
453	0.3964343874
454	0.3960633075
455	0.3956849844
456	0.3953413648
457	0.395094462
458	0.3947911674
459	0.3944934424
460	0.3940506629
461	0.3937098887
462	0.3933076099
463	0.3930897152
464	0.392577066
465	0.3922980424
466	0.3919789431
467	0.3914740466
468	0.3912417386
469	0.3908911435
470	0.3905692165
471	0.3902937687
472	0.3899426003
473	0.3896464566
474	0.389298732
475	0.389009199
476	0.3887494227
477	0.3884701271
478	0.388094266
479	0.3876036432
480	0.3873867028
481	0.3871321213
482	0.3868174401
483	0.3865141975
484	0.3862000273
485	0.3859414337
486	0.3856898697
487	0.3854434299
488	0.3851296826
489	0.3846702836
490	0.384381887
491	0.3840285439
492	0.3837458231
493	0.3834669854
494	0.3832102979
495	0.382889423
496	0.3825474562
497	0.3822615537
498	0.3820085088
499	0.3816082435
