iter	Logloss
0	0.690230369
1	0.6882023754
2	0.6863483962
3	0.6845541455
4	0.6827417966
5	0.6803849564
6	0.6782124824
7	0.6765866932
8	0.6738173981
9	0.6713366681
10	0.6691288909
11	0.6664063008
12	0.6646805308
13	0.6623013536
14	0.6593990061
15	0.6568112512
16	0.6541076801
17	0.6513073677
18	0.6494637108
19	0.6472528838
20	0.6462346135
21	0.6448952133
22	0.6435670211
23	0.6419383181
24	0.6401339526
25	0.6393197897
26	0.6376408868
27	0.6357199134
28	0.6349888975
29	0.63330324
30	0.63156624
31	0.6297305332
32	0.6288664904
33	0.6253049326
34	0.6231850596
35	0.6217620492
36	0.6202288988
37	0.6186393028
38	0.6174732041
39	0.6149772141
40	0.6135465405
41	0.612639349
42	0.6114809237
43	0.6105496517
44	0.6095114059
45	0.6089438449
46	0.6074273928
47	0.6061457302
48	0.6046222865
49	0.6034803137
50	0.6020221563
51	0.6013297955
52	0.6002718943
53	0.5989636446
54	0.5979429117
55	0.5973497918
56	0.5962245256
57	0.5948264373
58	0.5938915828
59	0.5932525816
60	0.5921065486
61	0.5915832679
62	0.5907712361
63	0.589990593
64	0.5892899968
65	0.5887114143
66	0.587394079
67	0.5865118988
68	0.5852659833
69	0.584763139
70	0.5835443935
71	0.582905488
72	0.5825806341
73	0.5818985985
74	0.5812655531
75	0.5806326557
76	0.5800483236
77	0.5791598608
78	0.5786077694
79	0.5782479027
80	0.577688492
81	0.5772400255
82	0.5768459352
83	0.5753955323
84	0.5745553095
85	0.5743063954
86	0.5737166484
87	0.5728174893
88	0.5724612602
89	0.5721267958
90	0.5714976104
91	0.5707564311
92	0.5702639576
93	0.5692204221
94	0.5684929656
95	0.5679463167
96	0.5666251797
97	0.5657196766
98	0.5649938425
99	0.5646846051
100	0.5636253135
101	0.5627515093
102	0.5618332818
103	0.5613089115
104	0.5607503388
105	0.5601729556
106	0.5591829494
107	0.5581591151
108	0.5573976471
109	0.5568549369
110	0.5562193046
111	0.5556833144
112	0.5548699356
113	0.5542565557
114	0.5536582721
115	0.5530820678
116	0.5520342398
117	0.5510754591
118	0.5504707453
119	0.5498895903
120	0.5493229671
121	0.5486506338
122	0.5479597946
123	0.5475431563
124	0.5468200205
125	0.5460040103
126	0.5457229018
127	0.5452550552
128	0.5448167517
129	0.5443725378
130	0.5440351885
131	0.5436799587
132	0.5433884545
133	0.5428349926
134	0.542082047
135	0.541519185
136	0.5412042887
137	0.5408289067
138	0.5402684463
139	0.5397491629
140	0.5391411051
141	0.5386823201
142	0.5380652679
143	0.5373499819
144	0.5368924749
145	0.5364306029
146	0.5361113908
147	0.5357814281
148	0.5353805865
149	0.5343104164
150	0.5332737792
151	0.5329592178
152	0.5325388935
153	0.5317696749
154	0.5311860736
155	0.530544161
156	0.5299811311
157	0.5295570757
158	0.5287257136
159	0.5282661568
160	0.5278605094
161	0.5273027101
162	0.5269410013
163	0.5259625848
164	0.5254480237
165	0.5250901266
166	0.5247242335
167	0.5239188764
168	0.5234150281
